,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
3,2021-01-14T11:54:30.430Z,38.81266779999999,-122.8106689,1.03,0.55,nc73510775,2021-01-14T12:06:11.679Z,"6km NW of The Geysers, CA",earthquake,0.29,0.7,, CA
4,2021-01-14T11:56:51.200Z,38.8115005,-122.81166840000002,1.19,1.41,nc73510785,2021-01-14T11:58:28.493Z,"6km NW of The Geysers, CA",earthquake,0.19,0.49,0.07, CA
7,2021-01-14T12:22:52.030Z,38.7986679,-122.751503,2.51,0.46,nc73510795,2021-01-14T12:24:29.208Z,"2km N of The Geysers, CA",earthquake,0.41,1.07,0.31, CA
8,2021-01-14T12:31:05.500Z,35.9466667,-117.68483329999998,3.09,1.44,ci39756864,2021-01-14T12:34:56.420Z,"20km E of Little Lake, CA",earthquake,0.21,0.44,0.188, CA
10,2021-01-14T12:40:53.100Z,38.8263321,-122.807663,2.74,0.56,nc73510800,2021-01-14T12:42:27.962Z,"7km NW of The Geysers, CA",earthquake,0.4,1.02,, CA
13,2021-01-14T12:51:17.140Z,35.8116667,-117.639,7.21,0.71,ci39756872,2021-01-14T12:55:04.032Z,"22km N of Ridgecrest, CA",earthquake,0.23,0.45,0.174, CA
14,2021-01-14T12:51:17.160Z,35.812999700000006,-117.6391678,7.25,1.05,ci39756872,2021-01-14T12:54:59.449Z,"22km N of Ridgecrest, CA",earthquake,0.39,0.71,0.274, CA
15,2021-01-14T12:51:32.770Z,34.0418333,-117.08733329999998,8.65,1.88,ci39756880,2021-01-14T13:02:32.620Z,"4km WNW of Yucaipa, CA",earthquake,0.21,0.67,0.142, CA
16,2021-01-14T12:51:32.800Z,34.0424995,-117.0866699,7.61,1.88,ci39756880,2021-01-14T12:53:47.439Z,"4km WNW of Yucaipa, CA",earthquake,0.2,0.72,0.218, CA
20,2021-01-14T13:23:35.340Z,38.8363342,-122.8111649,1.92,0.56,nc73510815,2021-01-14T13:25:13.857Z,"8km WNW of Cobb, CA",earthquake,0.35,0.9,, CA
25,2021-01-14T13:49:21.780Z,38.8050003,-122.7835007,1.02,0.55,nc73510820,2021-01-14T13:50:58.714Z,"4km NW of The Geysers, CA",earthquake,0.34,0.71,, CA
26,2021-01-14T13:52:22.200Z,32.7943333,-115.4568333,7.59,1.52,ci39756904,2021-01-14T13:56:16.890Z,"7km WSW of Holtville, CA",earthquake,0.49,0.66,0.184, CA
27,2021-01-14T13:52:22.240Z,32.7878342,-115.4576645,6.65,1.64,ci39756904,2021-01-14T13:54:39.887Z,"8km WSW of Holtville, CA",earthquake,0.78,1.46,0.179, CA
29,2021-01-14T14:18:44.110Z,34.0906667,-118.42816670000002,12.01,1.43,ci39756912,2021-01-14T14:22:32.902Z,"3km NW of Beverly Hills, CA",earthquake,0.57,0.51,0.214, CA
30,2021-01-14T14:25:28.670Z,33.6991667,-117.2205,5.24,1.39,ci39756920,2021-01-14T14:29:08.103Z,"8km WSW of Menifee, CA",earthquake,0.41,31.61,0.327, CA
32,2021-01-14T14:48:13.300Z,32.811,-115.4538333,8.76,1.89,ci39756928,2021-01-14T14:51:59.831Z,"7km W of Holtville, CA",earthquake,0.56,0.94,0.239, CA
33,2021-01-14T14:54:12.880Z,38.8434982,-122.82533259999998,1.61,0.57,nc73510830,2021-01-14T15:05:12.644Z,"9km WNW of Cobb, CA",earthquake,0.24,0.54,, CA
35,2021-01-14T15:03:58.900Z,33.661,-116.7126667,15.15,0.8,ci39756968,2021-01-14T15:07:43.358Z,"9km S of Idyllwild, CA",earthquake,0.32,0.49,0.15, CA
39,2021-01-14T15:13:11.420Z,38.7966652,-122.7375031,1.06,0.64,nc73510835,2021-01-14T15:14:47.705Z,"3km NE of The Geysers, CA",earthquake,0.31,0.83,0.07, CA
40,2021-01-14T15:17:44.280Z,35.7093333,-117.50816670000002,4.95,0.94,ci39756992,2021-01-14T15:21:13.473Z,"11km SW of Searles Valley, CA",earthquake,0.38,0.94,0.085, CA
43,2021-01-14T15:26:53.580Z,33.871498100000004,-117.6106644,23.26,1.42,ci39757008,2021-01-14T15:30:44.549Z,"4km W of Corona, CA",earthquake,0.66,1.82,0.363, CA
45,2021-01-14T15:30:35.460Z,33.773166700000004,-116.14216670000002,5.51,1.01,ci39757016,2021-01-14T15:34:21.574Z,"9km NE of Indio, CA",earthquake,0.41,0.81,0.158, CA
46,2021-01-14T15:41:55.870Z,33.6751667,-116.6996667,17.19,0.77,ci39757024,2021-01-14T15:45:44.006Z,"7km SSE of Idyllwild, CA",earthquake,0.45,0.61,0.125, CA
49,2021-01-14T15:55:29.970Z,38.7975006,-122.7480011,1.64,0.57,nc73510840,2021-01-14T15:57:08.502Z,"2km NNE of The Geysers, CA",earthquake,0.3,1.48,, CA
54,2021-01-14T16:34:20.990Z,38.8134995,-122.80867,0.82,1.33,nc73510850,2021-01-14T16:37:57.600Z,"6km NW of The Geysers, CA",earthquake,0.15,0.3,0.02, CA
59,2021-01-14T17:47:28.040Z,38.796833,-122.7375031,1.56,0.15,nc73510865,2021-01-14T17:49:03.712Z,"3km NE of The Geysers, CA",earthquake,0.34,0.92,0.07, CA
